identifier,objectid,parentid,title,creator,date,date_is_approximate,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
PAColl-10825-1-009_recto,PAColl-10825-1-009_recto,PAColl-10825-1-009,Exterior view of house ,Heritage Studios,,,Black and white photograph? Adhered to card,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-009_recto.jpg,/objects/small/PAColl-10825-1-009_recto.jpg,/objects/thumb/PAColl-10825-1-009_recto.jpg,,
PAColl-10825-1-009_verso,PAColl-10825-1-009_verso,PAColl-10825-1-009,,Heritage Studios,,,,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-009_verso.jpg,/objects/small/PAColl-10825-1-009_verso.jpg,/objects/thumb/PAColl-10825-1-009_verso.jpg,,
PAColl-10825-1-010,PAColl-10825-1-010,,Courtyard,Heritage Studios,,,,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-010.jpg,/objects/small/PAColl-10825-1-010.jpg,/objects/thumb/PAColl-10825-1-010.jpg,,
PAColl-10825-1-011,PAColl-10825-1-011,,Abstract image,Heritage Studios,,,,,,,,Alexander Turnbull Library,multple,,,,,multiple,,/objects/small/PAColl-10825-1-011_recto.jpg,/objects/thumb/PAColl-10825-1-011_recto.jpg,,
PAColl-10825-1-011_recto,PAColl-10825-1-011_recto,PAColl-10825-1-011,Abstract image,Heritage Studios,,,,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-011_recto.jpg,/objects/small/PAColl-10825-1-011_recto.jpg,/objects/thumb/PAColl-10825-1-011_recto.jpg,,
PAColl-10825-1-011_verso,PAColl-10825-1-011_verso,PAColl-10825-1-011,,Heritage Studios,,,,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-011_verso.jpg,/objects/small/PAColl-10825-1-011_verso.jpg,/objects/thumb/PAColl-10825-1-011_verso.jpg,,
PAColl-10825-1-012,PAColl-10825-1-012,,Aniwaniwa Waikaremoa visitors' centre,Heritage Studios,,,Three photographic prints cut and pasted together,,,,,Alexander Turnbull Library,multple,,,,,multiple,,/objects/small/PAColl-10825-1-012_recto.jpg,/objects/thumb/PAColl-10825-1-012_recto.jpg,,
PAColl-10825-1-012_recto,PAColl-10825-1-012_recto,PAColl-10825-1-012,Aniwaniwa Waikaremoa visitors' centre,Heritage Studios,,,Three photographic prints cut and pasted together,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-012_recto.jpg,/objects/small/PAColl-10825-1-012_recto.jpg,/objects/thumb/PAColl-10825-1-012_recto.jpg,,
PAColl-10825-1-012_verso,PAColl-10825-1-012_verso,PAColl-10825-1-012,,Heritage Studios,,,,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-012_verso.jpg,/objects/small/PAColl-10825-1-012_verso.jpg,/objects/thumb/PAColl-10825-1-012_verso.jpg,,
PAColl-10825-1-013,PAColl-10825-1-013,,Aniwaniwa   ,Heritage Studios,,,,,,,,Alexander Turnbull Library,multple,,,,,multiple,,/objects/small/PAColl-10825-1-013_recto.jpg,/objects/thumb/PAColl-10825-1-013_recto.jpg,,
PAColl-10825-1-013_recto,PAColl-10825-1-013_recto,PAColl-10825-1-013,Aniwaniwa   ,Heritage Studios,,,,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-013_recto.jpg,/objects/small/PAColl-10825-1-013_recto.jpg,/objects/thumb/PAColl-10825-1-013_recto.jpg,,
PAColl-10825-1-013_verso,PAColl-10825-1-013_verso,PAColl-10825-1-013,,Heritage Studios,,,,,,,,Alexander Turnbull Library,image,image/jpeg,,,,image,/objects/PAColl-10825-1-013_verso.jpg,/objects/small/PAColl-10825-1-013_verso.jpg,/objects/thumb/PAColl-10825-1-013_verso.jpg,,
